Статья;2021;2020;2019
Активы;644047;546369;509008
Оборотные активы;236972;164550;191605
Денежные средства и их эквиваленты;31038;43096;66907
Краткосрочные финансовые инвестиции;610;458;371
Торговая дебиторская задолженность ;36596;39108;36027
Дебиторская задолженность связанных сторон;4501;1320;1277
Авансы выданные и предоплаты;18115;3649;3241
Прочая дебиторская задолженность;9557;2704;5294
Запасы;104917;65570;70411
НДС к возмещению;3267;7155;5985
Налог на прибыль к возмещению;26;17;326
Активы, предназначенные для продажи ;26905;0;0
Прочие краткосрочные активы;1440;1473;1766
Внеоборотные активы;407075;381819;317403
Долгосрочные финансовые инвестиции;3286;2451;1602
Инвестиции в ассоциированные и совместные предприятия;10531;8560;7429
Основные средства;368222;350626;28074
Нематериальные активы;19854;18598;17271
Отложенные налоговые активы;4474;879;944
Прочие долгосрочные активы;708;705;1083
Пассивы;644047;546369;509008
Собственный капитал;312671;202664;215291
Уставный капитал;81081;81081;81081
Собственные акции, выкупленные у акционеров;0;-3029;-3095
Добавочный капитал;6953;6953;6953
Резерв курсовых разниц по пересчету в валюту представления;4487;4040;3226
Нераспределенная прибыль;218221;111770;125444
Прочие резервы;815;815;815
Долгосрочные обязательства;136548;212925;195502
Долгосрочное долговое финансирование;84322;147922;146145
Отложенные налоговые обязательства;33762;27463;22588
Обязательства по выплате вознаграждения по окончании трудовой деятельности;3407;4490;4572
Прочие долгосрочные обязательства;15057;33050;22197
Краткосрочные обязательства;194828;130780;98215
Торговая кредиторская задолженность;63853;47902;43905
Кредиторская задолженность связанным сторонам;1209;703;1071
Авансы полученные;27682;9794;9157
Краткосрочное долговое финансирование;50593;45069;17994
Налог на прибыль к уплате;2579;1114;1162
Прочие налоги и отчисления на социальное обеспечение;10108;10751;7787
Дивиденды к уплате;798;560;453
Обязательства, связанные с активами, предназначенными для продажи;15165;0;0
Прочие краткосрочные обязательства;22841;14887;16686
