Название показателя;2021;2020;Тип
Выручка;835451;485750;Доход
Себестоимость продаж;-361667;-283657;Расход
Валовая прибыль;493916;211112;Прибыль
Общехозяйственные и административные расходы;-25662;-22444;Расход
Затраты на сбыт;-51099;-47464;Расход
Налоги, за исключением налога на прибыль, и отчисления;-22447;-1990;Расход
Доля в прибылях ассоциированных и совместных предприятиях;3004;1220;Доход
Убыток от выбытия основных средств и нематериальных активов;-1609;-1515;Расход
Чистые прочие операционные доходы;339;1248;Доход
Прибыль от продаж;396442;140167;Прибыль
Убыток от обесценения внеоборотных активов;-1451;-854;Расход
Чистые прочие неопреационные расходы;-3864;-3633;Расход
Финансовые доходы;564;907;Доход
Финансовые расходы;-10270;-9717;Расход
Убыток от переоценки и выбытия финансовых инструментов;-7575;-6343;Расход
Убыток по курсовым разницам;-4412;-24576;Расход
Прибыль до налогообложения;369434;95951;Прибыль
Расходы по налогу на прибыль;-69786;-21327;Расход
Чистая прибыль;299648;74624;Прибыль
